Reviewer Name,Review Rating,Review Text,Time Created,id
Patrick T.,5,Debbie and Ronnie were wonderfully attentive to our needs. Had the best of the both red and white wines. Well worth spending an afternoon just sipping wines...,2021-04-13 19:18:16,DknnpiG1p4OoM1maFshzXA
Bianca B.,5,I haven't gone to the winery since pre covid; I used to go a few times a month for lunch or dinner and it was always delicious and a great environment. I...,2021-02-21 15:29:51,DknnpiG1p4OoM1maFshzXA
stephanie l.,5,I can't believe I never been here before! It's only 10 min from my house and for the last ten years yet only now I discovered this amazing place for family...,2021-02-21 17:19:02,DknnpiG1p4OoM1maFshzXA
The Enlightened Chef S.,5,Absolutely amazing experience. We love Callaway and have been there a few times to purchase wine for ourselves and local clients. This time we were camping...,2021-04-22 12:39:46,Cn2_bpTngghYW1ej4zreZg
Jenny F.,5,The menu I posted is their limited menu right now. Usually they have several selections. My husband and I love Callaway. We are apart of their wine club and...,2020-06-21 12:21:35,Cn2_bpTngghYW1ej4zreZg
Marta B.,5,Amazing wine and amazing service. Perfect winery for a first time trip to Temecula. Amazing views and beautiful ambiance. Will definitely be returning!!,2020-10-04 08:12:29,Cn2_bpTngghYW1ej4zreZg
Don M.,5,I've been a Royal member at Negociant for several years.  They are the best.  Over the last year they have faced the challenges with COVID but still made...,2021-03-01 10:00:51,Cc1sQWRWgGyMCjzX2mmMQQ
Lauren H.,5,"My husband and I have been members at Negociant for 2 years or so, so I want to start by saying this has been our go-to date night spot for a while. They...",2020-07-26 20:34:59,Cc1sQWRWgGyMCjzX2mmMQQ
Jennifer C.,5,They still have some amazing reds! Got a glass of the Boulevard and Deception. Deception was very chilled (the server did mention that's intentional) which...,2020-12-06 18:15:57,Cc1sQWRWgGyMCjzX2mmMQQ
Allan D.,5,First time here and it's such a find on our walk along marina..never had a sangria but tried fiances and had to get my own..yes I am using the...,2021-05-07 11:55:08,gMW1RvyLu90RSQAY9UrIHw
Shalini G.,4,"i'm on the email list and have heard of these guys for years...so when we walked past it i had to stop in for a glass.
i ordered a glass of sparkling (and...",2021-05-10 12:05:49,gMW1RvyLu90RSQAY9UrIHw
Ally N.,4,I've walked by this place the last few weekends I've been at Seaport Village. It's always looked so crowded in the past so I've never went in. Today I went...,2021-05-07 19:05:37,gMW1RvyLu90RSQAY9UrIHw
Victoria L.,5,"Domaine Artefact is our current favorite winery! 

Call ahead for reservations. Our favorite spots are the ones behind the winery - great lounge patio areas...",2021-04-11 11:32:04,WqVbxY77Ag96X90LultCUw
Natalie G.,5,Went with my little family while includes a 3 year old and we had such a good time . It's our 2nd time there but 1st since COVID and they have great...,2021-02-28 02:16:49,WqVbxY77Ag96X90LultCUw
Kerry P.,5,"The wine here is OUT OF THIS WORLD. Definitely out of San Diego county. When you dive into this Escondido winery, they will surprise you with their...",2021-05-02 18:16:14,WqVbxY77Ag96X90LultCUw
Beth G.,5,"This is such a cute little wine garden. It is quaint and beautiful. The staff are super friendly, attentive, and give great suggestions for food/wine...",2021-03-14 15:51:30,yZp9FdMH6Dmn98mfNInFHw
Jessica S.,5,"Great spot for a date or girls night!

Awesome patio with huge selection of wine and charcuterie boards.

I always come here with my girlfriends and we...",2020-09-16 12:41:17,yZp9FdMH6Dmn98mfNInFHw
Amber H.,5,My husband & I live in the neighborhood & we love coming to Carruth. The wine is amazing and service is great also. The patio is lit up at night & perfect...,2021-03-27 10:21:05,yZp9FdMH6Dmn98mfNInFHw
Ben C.,5,"Super cool interior, great wine, and nice people. James offered us samples and chatted with us for a while.  They don't have a kitchen but he gave us a...",2020-05-17 10:05:14,ElE6Nj7iz-tNV4ebV6Clew
Anna L.,5,Blue Door Urban Winery truly is a hidden gem.  There's a parking lot right around the corner.  The one person that was working there when we were here was...,2019-12-08 20:20:09,ElE6Nj7iz-tNV4ebV6Clew
Gabriella M.,5,This hidden gem is walking distance from my new house. My roommates and I walked down to Blue Door a few nights ago (not knowing what to expect) and we had...,2019-09-14 09:34:02,ElE6Nj7iz-tNV4ebV6Clew
Tyler W.,5,"Open Now - Wine Tasting with a View

With the new COVID precautions that are being taken right now, many wineries are no longer offering tastings. Since...",2020-09-29 11:29:04,Ub2bJsi7lIOQ9TyIKdHaJw
Jen S.,5,Absolutely loved it here! Very beautiful and excellent food! There was 5 of us and a pup and we shared two margarita pizzas and two large Cesars. Delicious...,2020-08-16 20:33:24,Ub2bJsi7lIOQ9TyIKdHaJw
Chrissie O.,5,Came here for a double date with my besties.  Finally my husband met some of my friends. It was the perfect little outing before sunset.  It is getting...,2020-09-09 16:45:42,Ub2bJsi7lIOQ9TyIKdHaJw
Allyson F.,5,I can't believe I've lived in SD for over three years now and last Friday was the first time I came to Pali Wine Co. I am definitely a wine lover- and this...,2020-10-12 08:23:09,fyh566YXm5XJ3Ntv_GLghg
Breanna F.,5,"Pali Wines is the perfect spot to stop in for a glass or a flight... or stay all night! Great wine, ambiance, and food. Outdoor is dog friendly too, so it's...",2020-11-06 17:13:29,fyh566YXm5XJ3Ntv_GLghg
Kristan T.,5,Came back to San Diego and this was the first place we had to visit! The staff here is just absolutely the friendliest. This time our waiter was joe but we...,2020-06-29 14:37:32,fyh566YXm5XJ3Ntv_GLghg
emmanuel s.,5,"Anna, Alan, and the entire Fruicraft team were excellent hosts to our ""mini"" wedding reception. They tended to our every need and were more than...",2020-12-16 11:51:10,sCET1pLdKNNPBQJyjPOkww
Rachael G.,5,"Amazing experience! With Covid restrictions right now, I could not figure out any birthday plans with my party size since most other places would not have...",2020-08-23 10:18:58,sCET1pLdKNNPBQJyjPOkww
Danielle B.,5,"This place is a gem, hidden or not. The greenery is why we looked into this venue, and the fun vibes and intimate space are why we chose it. The food and...",2021-02-19 21:19:27,sCET1pLdKNNPBQJyjPOkww
Theartsy C.,5,Great place to buy a bottle of wine and support local business. I just stumbled on this place and the people were so nice and a great holiday gift idea....,2020-12-30 18:13:08,7i8AdZoDySoEdT_uoMMzNA
Sara R.,5,"This place was amazing!! During COVID... they have three different seating times outside made by reservation, allowing for about 12 people max which made us...",2020-09-13 09:13:00,7i8AdZoDySoEdT_uoMMzNA
Sarah G.,5,Just want to give a shout out to Derrick & Chris for holding it it down! I've been a wine club member since they've opened and these two go above and...,2020-05-23 17:33:30,7i8AdZoDySoEdT_uoMMzNA
Daniel N.,5,"Always a great time when visiting this winery. So much so, we become members. The view on the back patio area is amazing. Great for a couples date or a...",2021-02-01 21:28:44,ALTc2EAwGkWfVL9gpuGdqw
Christine M.,5,"Wow! This place is jaw dropping upon entering. They've put some serious work into making this winery feel like a luxury getaway. In the time of COVID,...",2020-08-20 14:40:22,ALTc2EAwGkWfVL9gpuGdqw
Amy K.,5,Cute little winery in San Pascual Valley (just east of Escondido and Rancho Bernardo). There is plenty of outdoor seating. They open 1-7p Thursday to...,2020-08-22 23:24:21,ALTc2EAwGkWfVL9gpuGdqw
Leslie B.,5,"I found San Pasqual a few years back, as I used to work across the street.  I was surprised as to how much I liked the wines.  I have been returning...",2020-01-03 13:15:08,Phqm2QvJE0uEqpxMvdzH_g
Daysi G.,5,Such a fun time at this winery! Me and my friends came to San Diego for Presidents' Day weekend and we were surprised it wasn't closed or packed. We did a...,2019-02-19 13:28:54,Phqm2QvJE0uEqpxMvdzH_g
Wyndi W.,5,"This place is so great! The wines are really good and reasonably priced. Go and have some tasters, you won't regret it!",2019-09-08 13:02:20,Phqm2QvJE0uEqpxMvdzH_g
Tiara W.,5,"What a great winery, delicious wine and beautiful owners. They were very accommodating to my wife and our pup! we called to see if we need reservations and...",2021-05-10 13:28:52,NKsyDqmKiNWT4HtkBh6AdA
Marcos R.,5,"I had a great experience here.  I headed to the area, I'm not sure what you call these hills, but the area is littered with wineries.  We showed up prior to...",2020-08-01 12:05:20,NKsyDqmKiNWT4HtkBh6AdA
Monroe C.,5,"Above and beyond hospitality from each family member and staff. So friendly and welcoming. They're unable to offer tastings during covid-19, but have a...",2020-08-05 13:41:02,NKsyDqmKiNWT4HtkBh6AdA
Leslie B.,5,"Today is Thankful Thursday and I have set aside some time to thank some of the business that have helped me keep my sanity during this pandemic.
I first...",2020-05-21 17:21:11,o0flINbzGa8LDlM9Mtbfwg
Ashley B.,5,"This wine is so good!! I'm super particular about my reds and these are delish. Juicy and spicy, just how I like it! Tasting room as a nice ambiance. So...",2020-01-03 19:05:54,o0flINbzGa8LDlM9Mtbfwg
Jamie N.,1,"Rude. Walked in today and guy said with attitude, can I help you? I said in shock, wine tasting? He said no we can't do that. The guy was super rude. We...",2020-07-03 18:05:09,o0flINbzGa8LDlM9Mtbfwg
Gregg M.,5,My wife and I stumbled upon Koi Zen about a year or two ago to support an event that my mother was hosting at the winery and quickly fell in love with the...,2020-04-14 06:50:29,Oic9__gID0APdrBIjP4Xjw
Veronica M.,5,"We had a great time at Koi Zen Cellars, great wine, friendly service and super chill atmosphere. I loved the ""Shimmer of Zin"" delicious rose of Zinfandel....",2021-04-25 17:07:02,Oic9__gID0APdrBIjP4Xjw
Saleen D.,4,"Awesome winery in the business district of Carmel Mountain Ranch!

I was surprised when I found out about this place because I did not know such a place...",2020-07-07 02:29:00,Oic9__gID0APdrBIjP4Xjw
Sarah N.,5,My girlfriends and I decided to try out wine works for a ladies night. We had a great time sitting on the side patio. They were very attentive and helpful.,2021-03-29 07:24:51,YVMiPOAPsEd1fXxNmpjEMA
Michael G.,5,Had a Great Night being entertained with Great Music (Thank You Jess Wright) and sipping fantastic wines.  Life is good at Wine Works!!!!  Thanks for a...,2021-04-17 20:50:15,YVMiPOAPsEd1fXxNmpjEMA
Ashlee D.,5,I rented the patio at La Mesa Wine Works for my baby shower on 11/10/19. The venue is beautiful and the patio area is amazing! There is plenty of greenery...,2019-11-11 18:20:02,YVMiPOAPsEd1fXxNmpjEMA
Diann B.,5,We were celebrating our 22nd Wedding anniversary. We wanted to go wine tasting. We were staying at Thousand Trails Pio Pico and were looking forward to our...,2021-04-16 17:54:00,1PS0mcUZkJPyG72pk3zwVg
Tina B.,5,"I am so happy to have discovered this place! First of all, if you are following your GPS, do not come in via Jamul through a residential area (if you do,...",2020-12-23 18:04:10,1PS0mcUZkJPyG72pk3zwVg
Sarie E.,5,"GLC is a beautiful gem hidden in the hills of San Diego county. 
I can't say enough about how lovely the views are. 
This growing vineyard sits in the...",2020-10-31 15:10:33,1PS0mcUZkJPyG72pk3zwVg
Karen r.,5,Nice outdoor venue for wine-tasting. They are following COVID protocols and you can safety socially-distance. Wiines are delicious and beautiful views.,2021-01-15 12:10:44,9qalQETuaZnFDgZrsEB7MA
Monroe C.,5,One of the best wineries in Escondido. I went last Saturday and the service was amazing and the view was beautiful. The wine was OMG delicious. Full body...,2020-08-05 13:31:37,9qalQETuaZnFDgZrsEB7MA
Lisa F.,5,I am commenting I response to the reviewer that said Covid protocols were not followed at the Christmas Market.  I attended the market and disagree.  It was...,2020-12-06 13:01:39,9qalQETuaZnFDgZrsEB7MA
Natalya S.,5,"This was my second year attending this fabulous wine tasting event by BottleNotes. 
80 sips around the world is exactly what this wine tasting event is all...",2014-06-15 14:59:17,XH7njeu3FvhxoTqzHTTE5g
Jodi m.,5,"Such a beautiful environment that on my second visit, I joined the wine club. I am not a big wine drinker, but love the atmosphere enough to know that I...",2021-02-18 15:43:15,Ye4Pr0ZbC8sGPwpWqR5wvQ
Mike W.,5,"On a referral from another local winery, we stopped by this new winery in the Ramona/Highland Valley area, which opened about 3 months ago. It was very easy...",2020-10-05 10:55:43,Ye4Pr0ZbC8sGPwpWqR5wvQ
Melanie R.,5,This is an amazingly beautiful location for our event! The wine is wonderful and the service was superb! I highly recommend this venue!!,2021-05-11 12:22:41,Ye4Pr0ZbC8sGPwpWqR5wvQ
Jessica N.,5,"Came in today to get out of the house and enjoy their new pie collection. 
The pie collection includes blackberry, lemon meringue, key lime, cherry limeade,...",2021-03-24 17:11:56,ptA-I2Kk78jydAeJIYs2Cg
Thuy N.,5,"PROS:
+ happy hour from 3-6
+ bread pudding 
+ Poutine TOTS :) 
+ GARLIC NOODLES
+ Brussels sprouts 
+ Abnormal Heff was great :) 
+ LOVE BEER SELECTION
+...",2019-03-08 06:19:48,ptA-I2Kk78jydAeJIYs2Cg
Dung N.,3,It was my second time here and I came to attend their 3 year anniversary. They had merchandise for sale as well as raffle prizes and a photo booth! There...,2018-03-30 14:13:00,ptA-I2Kk78jydAeJIYs2Cg
Julia T.,5,Great little winery! It's off the beaten path & cozy. The wine is great & people are nice!,2021-03-24 16:48:38,f62YFfiriHapBhadXfMquA
Bart C.,5,"If you are into outstanding premium quality reds this is the place to go. Marilyn who is the owner/operator was a fantastic host. Now, you have to make a...",2020-08-23 15:11:04,f62YFfiriHapBhadXfMquA
Michelle S.,5,Recently I went to a party and the host was serving a 2013 Cabernet Franc from Woof'n Rose that I fell in love with! Since I am not a wine connoisseur (let...,2018-05-17 04:42:08,f62YFfiriHapBhadXfMquA
Hannah T.,5,Nice boutique winery with great selection of wines.  The merlot was delicious and there was also a good amount outdoor seating.  There was also a cute dog...,2021-05-01 17:16:38,BGfXAtLC5sHBWOKlcb17KA
