,name,location,id,rating,review_count,price,latitude,longitude
0,Vino Carta,"2161 India St San Diego, CA 92101",m4GLKC9LG_aelSqR_BCcEg,4.5,63,$$,32.727181229033,-117.169526070356
1,San Pasqual Winery Tasting Room & Gallery,"8364 La Mesa Blvd La Mesa, CA 91942",ia3GRsrEDexiodnpXe0D6w,4.5,81,$$,32.76572,-117.01787
2,Baja California Wine Tours,"San Diego, CA 92110",-R9x8f3TaNek2JIP-4OHCA,5.0,10,,32.76772,-117.19483
3,The Wine Lover,"3968 5th Ave San Diego, CA 92103",xsnS_WeHv2QYOK2N1PKmTA,4.0,205,$$,32.74955,-117.16078
4,Chuparosa Vineyards,"910 Gem Ln Ramona, CA 92065",D9rtDihupzA39yBh0YcAXg,5.0,39,$$,33.009689,-116.858495
5,California Wine Line,"San Diego, CA 92101",5fkdGagUJDuc3axRWchzJQ,5.0,2,,32.6059744,-117.0441009
6,Principe di Tricase Winery,"18425 Highland Valley Rd Ramona, CA 92065",RdMY32yM5MRIztG9gzuDKw,4.5,71,$$,33.0246391,-116.932663
7,Poochie's Hooch Urban Cidery,"7559 Mission Gorge Rd San Diego, CA 92120",rbtrzNAu90P2GyyE55kikA,4.0,70,,32.807324,-117.075977
8,Serpentine Cider,"2311 El Cajon Blvd San Diego, CA 92104",JxeaJ07kzO6MYnDJ2rLoeA,4.5,14,,32.755,-117.13971
9,Bottlecraft Beer Shop and Tasting Room,"2252 India St San Diego, CA 92101",PgGEPIeE2JPf40xNwWj6UQ,4.5,327,$$,32.7269453,-117.1695079
10,Continental Bistro,"2539 Congress Street A San Diego, CA 92110",NA9IzEA80BsNBSATIpPDOQ,3.5,3,,32.75222,-117.196385
11,Aha Baja Wine Tours,"3941 Mason St San Diego, CA 92110",Xr07i4R5yJkvjEz4Jedx6A,5.0,22,,32.75283,-117.19735
12,Hatfield Creek Winery,"1625 Hwy 78 Ramona, CA 92065",V3kR-0Nb6ISBQ8ebXZJeVQ,4.5,102,$$,33.0441995688399,-116.828583402447
13,Record Family Wines,"1035 University Ave San Diego, CA 92103",3mk6Tl3irp7x8baYoLRu9w,5.0,3,,32.74826,-117.15441
14,Baja Xpress,"3802 Rosecrans St Ste 315 San Diego, CA 92110",Wn_5aK8ecXDi6e1lZX4Djg,5.0,6,,32.753397,-117.203372
15,Dulzura Vineyard & Winery,"17323 Hwy 94 Dulzura, CA 91917",Wjn9nDudZgJ5okiB8Cbfmg,5.0,24,$$,32.639056,-116.769926
16,Quigley Fine Wines,"1551 Fourth Ave San Diego, CA 92101",U1F6GFNI_nw4WawP546qHQ,4.5,3,$$,32.6837679,-117.0923119
17,Wine Smarties,"9550 Waples St San Diego, CA 92121",TMuXpHvWmWlW__vpyREVjA,4.5,26,,32.90345,-117.18322
18,Cheval Winery,"2919 Hill Valley Dr Escondido, CA 92029",Ou-vDAZxoKeYkBDZzg_ZdA,4.5,33,$$,33.12341,-117.13297
19,Boutique Vino,"923 E St San Diego, CA 92101",Z2b2iFfFuC9Ei-kl-3m8kg,5.0,62,$$,32.71451,-117.15622
20,Wine Tours Baja,"222 Park Blvd San Diego, CA 92101",R49UxDULhZfG-rRG5AEfUA,3.0,2,,32.7077165,-117.1547876
21,EA Rides,"San Diego, CA 92117",SpKdmM-8teK5Cw3w1EXsfA,5.0,1,,32.81862,-117.19869
22,Mermaid Valley Vineyard,"18420 Highland Valley Rd Ramona, CA 92065",rtE6b7MidHry2wEa9ls3gw,5.0,3,,33.0268827348204,-116.933421958665
23,Trevi Hills,"13010 Muth Valley Rd Lakeside, CA 92040",C679sPixYuW8kXKWdzCfhA,4.5,15,,32.89992,-116.89408
24,Old Julian Vineyards & Winery,"25352 Old Julian Hwy Ramona, CA 92065",5GXI0ATO4eX6RQWB0GUQPg,5.0,4,,33.052261,-116.781211
25,HotShots Winery Tours,"1333 8th Ave Unit 101 San Diego, CA 92101",dPReoocjZhrq382cOnw6yw,5.0,1,,32.719494,-117.157209
26,La Finquita Winery & Vineyard,"23123 Vista Ramona Rd Ramona, CA 92065",HwYHguzMcK-9yezh7DnC5Q,4.5,45,$$,33.0317768,-116.8212654
