name,location,id,alias,title,rating,review_count,price,latitude,longitude
Bernardo Winery,"13330 Paseo Del Verano Norte San Diego, CA 92128",DknnpiG1p4OoM1maFshzXA,winetastingroom,Wine Tasting Room,4.5,626,$$,33.0328,-117.04646000000001
Callaway Vineyard & Winery,"517 4th Ave Ste 101 San Diego, CA 92101",Cn2_bpTngghYW1ej4zreZg,winetastingroom,Wine Tasting Room,5.0,100,$$,32.71075061,-117.1609178
Négociant Winery,"2419 El Cajon Blvd San Diego, CA 92104",Cc1sQWRWgGyMCjzX2mmMQQ,winetastingroom,Wine Tasting Room,4.5,103,$$,32.75488,-117.13828000000001
San Pasqual Winery - Seaport Village,"805 W Harbor Dr San Diego, CA 92101",gMW1RvyLu90RSQAY9UrIHw,winetastingroom,Wine Tasting Room,4.5,138,$$,32.70873165,-117.168195
Domaine Artefact Vineyard & Winery,"15404 Highland Valley Rd Escondido, CA 92025",WqVbxY77Ag96X90LultCUw,wineries,Wineries,5.0,96,$$,33.06817,-117.0016
Carruth Cellars Wine Garden,"2215 Kettner Blvd San Diego, CA 92101",yZp9FdMH6Dmn98mfNInFHw,wineries,Wineries,4.5,196,$$,32.72748,-117.17056000000001
Blue Door Urban Winery,"4060 Morena Blvd San Diego, CA 92117",ElE6Nj7iz-tNV4ebV6Clew,wineries,Wineries,4.5,76,$$,32.814091,-117.218254
Cordiano Winery,"15732 Highland Valley Rd Escondido, CA 92025",Ub2bJsi7lIOQ9TyIKdHaJw,wineries,Wineries,4.0,547,$$,33.06811797,-116.9917146
FruitCraft - Fermentery & Distillery,"1477 University Ave San Diego, CA 92103",sCET1pLdKNNPBQJyjPOkww,wineries,Wineries,4.5,308,$$,32.74821722,-117.14946289999999
Pali Wine Co,"2130 India St San Diego, CA 92101",fyh566YXm5XJ3Ntv_GLghg,winetastingroom,Wine Tasting Room,4.0,173,$$,32.7267968,-117.1697587
LJ Crafted Wines - Wines & Tastings,"5621 La Jolla Blvd San Diego, CA 92037",7i8AdZoDySoEdT_uoMMzNA,winetastingroom,Wine Tasting Room,4.5,85,$$,32.81438,-117.2695
Speckle Rock Vineyards,"16138 Highland Valley Rd Escondido, CA 92025",ALTc2EAwGkWfVL9gpuGdqw,wineries,Wineries,5.0,59,,33.06136158,-116.977404
San Pasqual Winery,"8167 Center St La Mesa, CA 91942",Phqm2QvJE0uEqpxMvdzH_g,wineries,Wineries,5.0,20,$$,32.771589399999996,-117.02131809999999
Altipiano Vineyard & Winery,"20365 Camino Del Aguila Escondido, CA 92025",NKsyDqmKiNWT4HtkBh6AdA,wineries,Wineries,4.5,111,$$,33.06328964,-117.0043945
Gianni Buonomo Vintners,"4836 Newport Ave San Diego, CA 92107",o0flINbzGa8LDlM9Mtbfwg,winetastingroom,Wine Tasting Room,4.5,55,$$,32.745389,-117.24811000000001
Koi Zen Cellars,"12225 World Trade Dr Ste P & Q San Diego, CA 92128",Oic9__gID0APdrBIjP4Xjw,wineries,Wineries,5.0,113,$$,32.9864799,-117.07214499999999
